image_name,Spacing (CoV),Baseline Variation,Fluency (px/stroke),Stroke Breaks,Smoothness (roughness),cluster
32.jpg,0.927298343,36.48022046,74.95833333,13.34074485,119.7491455,0
33.jpg,1.062650049,70.22307607,134.7666667,7.420232499,146.9393921,2
34.jpg,0.994182945,41.97720773,72.72222222,13.75095492,129.9435425,2
35.jpg,0.85525201,55.72354142,49,20.40816326,151.390686,2
36.jpg,0.814469022,53.84904894,39.38679245,25.38922155,157.180481,1
37.jpg,0.94777463,70.16922887,132.7666667,7.532011045,148.5580444,2
38.jpg,1.100611578,60.15088636,94.52272727,10.57946622,174.3630981,2
39.jpg,1.221496414,67.99792753,161.4074074,6.195502523,149.3206787,0
4.jpg,0.99163391,60.83356194,52.56043956,19.02571607,168.5266113,2
40.jpg,0.966614723,56.49546017,60.34375,16.57172449,122.7529907,0
41.jpg,0.892198426,41.59688208,65.85897436,15.18395951,186.6586304,2
42.jpg,1.018888025,57.90432298,44.54255319,22.45044184,150.1144409,0
43.jpg,0.980187479,64.01215608,116.875,8.556149731,182.7209473,2
44.jpg,1.01458483,58.7815142,37.51492537,26.65605729,175.1412964,2
45.jpg,0.930677297,26.95439669,41.29113924,24.21827099,111.7803955,2
46.jpg,0.807309048,33.14602384,83.90196078,11.91867258,139.5153809,0
47.jpg,0.751429123,34.994605,71.05454545,14.07369498,119.0020752,0
48.jpg,0.936977395,36.95255978,34.24324324,29.20284135,151.9976807,2
49.jpg,0.908856878,60.41574317,95.34883721,10.48780488,143.1262207,0
5.jpg,1.050936205,60.59219025,41.02419355,24.37586003,178.0517578,2
50.jpg,0.779155526,32.77408482,46.76470588,21.38364779,141.8499756,0
51.jpg,1.019112863,65.38968996,35.61764706,28.07597026,83.57849121,1
52.jpg,1.034979,67.69616778,42.125,23.7388724,91.26708984,1
